business_id,name,is_open,postal_code,stars,Ambiance,Drinks,Food,Price,Service
Z0mBsgDzDnFAEC5o4X6G9g,Java Station,1,93110,5,0.68,1.79,0.44,0.61,1.39
Z0mBsgDzDnFAEC5o4X6G9g,Java Station,1,93110,4,0.63,1.26,0.27,0.75,0.56
Z0mBsgDzDnFAEC5o4X6G9g,Java Station,1,93110,3,0.2,0.48,0.16,0.37,0.25
Z0mBsgDzDnFAEC5o4X6G9g,Java Station,1,93110,1,-0,0.09,-0.06,0.18,-0.09
Z0mBsgDzDnFAEC5o4X6G9g,Java Station,1,93110,2,0,0.02,-0.01,-0.04,-0.04
T5serOgucL236udCsZI0jA,Xanadu Bakery,0,93108,4,0.1,0.28,0.27,0.04,0.18
T5serOgucL236udCsZI0jA,Xanadu Bakery,0,93108,5,0.02,0.12,0.04,0.06,0.14
T5serOgucL236udCsZI0jA,Xanadu Bakery,0,93108,1,0,-0.03,-0.05,0.01,-0.15
T5serOgucL236udCsZI0jA,Xanadu Bakery,0,93108,3,0,0.02,0.04,0.05,0.04
T5serOgucL236udCsZI0jA,Xanadu Bakery,0,93108,2,-0.02,0.02,0.01,0.1,-0
FH0MVF7kK0D76Hh4e7hXfQ,Jeannine's American Bakery Restaurant,1,93105,5,2.2,3.4,3.51,1,7.34
FH0MVF7kK0D76Hh4e7hXfQ,Jeannine's American Bakery Restaurant,1,93105,4,1.42,1.38,1.9,0.92,3.51
FH0MVF7kK0D76Hh4e7hXfQ,Jeannine's American Bakery Restaurant,1,93105,3,0.2,0.65,0.38,0.34,0.54
FH0MVF7kK0D76Hh4e7hXfQ,Jeannine's American Bakery Restaurant,1,93105,1,-0.06,0.03,0.03,0.07,-0.17
FH0MVF7kK0D76Hh4e7hXfQ,Jeannine's American Bakery Restaurant,1,93105,2,-0.06,0.11,0.13,0.41,0.05
L4-_gPiqsuX50JN_-qUhNQ,Jeannine’s American Bakery & Restaurant,1,93101,5,0.36,0.52,0.33,0.19,1.24
L4-_gPiqsuX50JN_-qUhNQ,Jeannine’s American Bakery & Restaurant,1,93101,4,0.03,0.05,0.07,0.06,0.15
L4-_gPiqsuX50JN_-qUhNQ,Jeannine’s American Bakery & Restaurant,1,93101,2,0,0,-0,0,0
jWhlz8LesaC7jZL9bHNe9A,Bree’Osh,1,93105,5,0.18,0.2,0.24,0,0.14
jWhlz8LesaC7jZL9bHNe9A,Bree’Osh,1,93105,4,0.07,0.3,0.16,0.07,0.1
jWhlz8LesaC7jZL9bHNe9A,Bree’Osh,1,93105,3,0.02,-0.01,0.02,0,0.05
jWgZRpdHy8csA1sUz1auSw,Daniel's Bakery and Mexican Food,1,93105,4,0.02,0.03,0.01,0.09,0.05
jWgZRpdHy8csA1sUz1auSw,Daniel's Bakery and Mexican Food,1,93105,5,0.02,0,0.03,0,0.07
jWgZRpdHy8csA1sUz1auSw,Daniel's Bakery and Mexican Food,1,93105,3,0.01,0,0,0,0.01
jWgZRpdHy8csA1sUz1auSw,Daniel's Bakery and Mexican Food,1,93105,1,0,0,-0,-0.07,-0.14
8JzURExziDYuCrd7Ve9nDQ,Los Tarascos Bakery and Deli,1,93101,5,0.1,0.23,0.27,0.44,0.27
8JzURExziDYuCrd7Ve9nDQ,Los Tarascos Bakery and Deli,1,93101,3,0.02,0.03,0.01,-0.03,0.01
8JzURExziDYuCrd7Ve9nDQ,Los Tarascos Bakery and Deli,1,93101,1,0,0,-0.01,0.08,0.02
8JzURExziDYuCrd7Ve9nDQ,Los Tarascos Bakery and Deli,1,93101,2,0,0,0,0,0
8JzURExziDYuCrd7Ve9nDQ,Los Tarascos Bakery and Deli,1,93101,4,0,0.06,0.08,0.06,0.02
DdD7j67fu8kM6DkvY4JCIA,Panaderia Veronica,0,93103,5,0.07,0.05,0.14,0.12,0.2
DdD7j67fu8kM6DkvY4JCIA,Panaderia Veronica,0,93103,1,0,0,0,0,0
DdD7j67fu8kM6DkvY4JCIA,Panaderia Veronica,0,93103,2,0,0,0,0,0.01
DdD7j67fu8kM6DkvY4JCIA,Panaderia Veronica,0,93103,3,0,0,0.01,0,-0
DdD7j67fu8kM6DkvY4JCIA,Panaderia Veronica,0,93103,4,-0,-0.02,0.04,0,0
cQDwJjslebJv5Co7gCm2Yw,Cafe Ana,0,93101,5,0.9,0.53,0.34,0.31,1.09
cQDwJjslebJv5Co7gCm2Yw,Cafe Ana,0,93101,4,0.5,0.35,0.08,0.11,0.33
cQDwJjslebJv5Co7gCm2Yw,Cafe Ana,0,93101,2,0.07,-0.03,0.01,0.03,0.03
cQDwJjslebJv5Co7gCm2Yw,Cafe Ana,0,93101,3,0.04,0.01,0.02,0.01,0.04
cQDwJjslebJv5Co7gCm2Yw,Cafe Ana,0,93101,1,-0.03,0,0.01,0,-0.09
m4xrhESFLaA7PiddXeg2aw,Pierre Lafond Wine Bistro,0,93101,5,0.61,0.25,0.63,0.41,1.08
m4xrhESFLaA7PiddXeg2aw,Pierre Lafond Wine Bistro,0,93101,4,0.48,0.11,0.7,0.62,1.44
m4xrhESFLaA7PiddXeg2aw,Pierre Lafond Wine Bistro,0,93101,3,0.27,0.03,0.37,0.22,0.43
m4xrhESFLaA7PiddXeg2aw,Pierre Lafond Wine Bistro,0,93101,2,0.04,0.02,0.08,0.06,0.15
m4xrhESFLaA7PiddXeg2aw,Pierre Lafond Wine Bistro,0,93101,1,0.01,-0.02,0.02,0.12,0.01
WVNkMz4sEl35swjVtKHOFw,Alessia Patisserie & Cafe,1,93101,5,1.67,1.1,1.32,0.33,2.01
WVNkMz4sEl35swjVtKHOFw,Alessia Patisserie & Cafe,1,93101,4,0.32,0.18,0.37,0.22,0.29
WVNkMz4sEl35swjVtKHOFw,Alessia Patisserie & Cafe,1,93101,3,0.05,0.1,0.06,0,0.02
WVNkMz4sEl35swjVtKHOFw,Alessia Patisserie & Cafe,1,93101,1,0,0,0,0,-0
WVNkMz4sEl35swjVtKHOFw,Alessia Patisserie & Cafe,1,93101,2,0,0.02,0.02,0.06,0.02
_6p_j0UL7ST3b2nvHw82eA,REBAR COFFEE + KTCHN,0,93101,5,0.81,2.55,0.8,0.26,2.2
_6p_j0UL7ST3b2nvHw82eA,REBAR COFFEE + KTCHN,0,93101,4,0.28,0.89,0.15,0.12,0.54
_6p_j0UL7ST3b2nvHw82eA,REBAR COFFEE + KTCHN,0,93101,2,0.1,0.23,0.02,-0.08,-0.02
_6p_j0UL7ST3b2nvHw82eA,REBAR COFFEE + KTCHN,0,93101,3,0.1,0.33,0.08,0.04,0.06
_6p_j0UL7ST3b2nvHw82eA,REBAR COFFEE + KTCHN,0,93101,1,-0,-0.06,-0.02,0.16,-0.24
9uJuBPIQyrC0v9pVv3JKRQ,Panera Bread,0,93105,3,0.11,0.08,0.1,0.26,0.2
9uJuBPIQyrC0v9pVv3JKRQ,Panera Bread,0,93105,5,0.1,0.21,0.21,0.47,0.53
9uJuBPIQyrC0v9pVv3JKRQ,Panera Bread,0,93105,4,0.07,0.08,0.12,0.06,0.2
9uJuBPIQyrC0v9pVv3JKRQ,Panera Bread,0,93105,2,-0.05,0.05,0.13,0.25,0.14
9uJuBPIQyrC0v9pVv3JKRQ,Panera Bread,0,93105,1,-0.3,-0.06,-0,0.11,-0.61
1kVnChI4aqsPw9i2PVqkkw,Fresco Cafe,1,93105,5,0.67,0.18,1.64,1.54,2.11
1kVnChI4aqsPw9i2PVqkkw,Fresco Cafe,1,93105,4,0.5,0.32,1.01,0.79,1.22
1kVnChI4aqsPw9i2PVqkkw,Fresco Cafe,1,93105,2,0.09,0.02,0.1,-0.01,0.08
1kVnChI4aqsPw9i2PVqkkw,Fresco Cafe,1,93105,3,0.08,-0.08,0.15,0.31,0.18
1kVnChI4aqsPw9i2PVqkkw,Fresco Cafe,1,93105,1,-0.05,0.05,0.09,0.28,-0.14
aD490g5tyGScrxRZP_d1gw,Enjoy Cupcakes,0,93101,5,1.02,0.9,3.05,0.17,1.69
aD490g5tyGScrxRZP_d1gw,Enjoy Cupcakes,0,93101,4,0.15,0.33,0.7,0.05,0.24
aD490g5tyGScrxRZP_d1gw,Enjoy Cupcakes,0,93101,1,0.02,-0.03,-0.03,0,-0.05
aD490g5tyGScrxRZP_d1gw,Enjoy Cupcakes,0,93101,2,0.01,0.09,0.07,0,0.01
aD490g5tyGScrxRZP_d1gw,Enjoy Cupcakes,0,93101,3,0,0,0.02,0,-0
5GUA13zYgw4_8F6qUMU_LA,Green Star Coffee,0,93101,5,0.25,1.33,0.08,0.17,0.43
5GUA13zYgw4_8F6qUMU_LA,Green Star Coffee,0,93101,4,0.07,0.4,0.02,0.01,0.07
5GUA13zYgw4_8F6qUMU_LA,Green Star Coffee,0,93101,2,0.06,0.02,-0.01,0.09,0.05
5GUA13zYgw4_8F6qUMU_LA,Green Star Coffee,0,93101,1,0,0,0,0,0
5GUA13zYgw4_8F6qUMU_LA,Green Star Coffee,0,93101,3,0,0.2,-0.01,0.08,0
FQxEfhBd1gMrurP19bhK8w,Mama's Bakery & Deli,0,93111,5,0.07,0,0.27,0.08,0.42
FQxEfhBd1gMrurP19bhK8w,Mama's Bakery & Deli,0,93111,1,0,0,0,0,0.05
FQxEfhBd1gMrurP19bhK8w,Mama's Bakery & Deli,0,93111,2,0,0,0.03,0.08,0
FQxEfhBd1gMrurP19bhK8w,Mama's Bakery & Deli,0,93111,3,0,0,0.02,0.02,-0
FQxEfhBd1gMrurP19bhK8w,Mama's Bakery & Deli,0,93111,4,0,0.07,0.16,0.05,0.3
Kg71HUigI1rnY3UMFiLx0w,Tangonadas,0,93101,5,0.6,0.15,0.1,0.24,0.57
Kg71HUigI1rnY3UMFiLx0w,Tangonadas,0,93101,4,0.26,0.16,0.08,0.05,0.21
Kg71HUigI1rnY3UMFiLx0w,Tangonadas,0,93101,3,0.03,0,0,0,0.02
Kg71HUigI1rnY3UMFiLx0w,Tangonadas,0,93101,1,-0.01,0,-0.01,-0.1,-0.01
CO5UeHEX1AcK5yRzFVr2Ew,Fresh & Easy,0,93103,4,0.06,0,0.01,-0.07,0.1
CO5UeHEX1AcK5yRzFVr2Ew,Fresh & Easy,0,93103,3,0.01,0.03,0.01,0.04,0.07
CO5UeHEX1AcK5yRzFVr2Ew,Fresh & Easy,0,93103,5,0.01,0.04,0.09,0.25,0.08
CO5UeHEX1AcK5yRzFVr2Ew,Fresh & Easy,0,93103,1,0,0,0.02,0.09,0
CO5UeHEX1AcK5yRzFVr2Ew,Fresh & Easy,0,93103,2,0,0,0.03,0.01,0
PGVZjuHpB5s5jFMKqKdCmw,Our Daily Bread,0,93101,4,0.12,0.09,0.16,0.02,0.15
PGVZjuHpB5s5jFMKqKdCmw,Our Daily Bread,0,93101,3,0.03,0.04,0.16,0.06,0
PGVZjuHpB5s5jFMKqKdCmw,Our Daily Bread,0,93101,2,0.02,0,0,0,-0.01
PGVZjuHpB5s5jFMKqKdCmw,Our Daily Bread,0,93101,5,0.02,0.01,0.06,0.16,0.11
PGVZjuHpB5s5jFMKqKdCmw,Our Daily Bread,0,93101,1,0,-0.02,0,0.06,-0.01
CwL56LgcMz7Bvi4xODHVSw,La Arcada Bistro,0,93101,5,0.41,0.03,0.34,0.4,1
CwL56LgcMz7Bvi4xODHVSw,La Arcada Bistro,0,93101,4,0.36,0,0.12,0.05,0.43
CwL56LgcMz7Bvi4xODHVSw,La Arcada Bistro,0,93101,2,0.12,0.04,0.14,0.07,-0.03
CwL56LgcMz7Bvi4xODHVSw,La Arcada Bistro,0,93101,3,0.11,0.04,0.06,0.14,0.22
CwL56LgcMz7Bvi4xODHVSw,La Arcada Bistro,0,93101,1,0.03,0.01,0.03,-0.14,-0.07
hPzPpfSjgQkpWCD7YjcY-A,Lilac Pâtisserie,1,93101,5,4.7,4.25,5.49,17.1,11.88
hPzPpfSjgQkpWCD7YjcY-A,Lilac Pâtisserie,1,93101,4,1.06,1.01,1.36,3.34,2.04
hPzPpfSjgQkpWCD7YjcY-A,Lilac Pâtisserie,1,93101,3,0.36,0.23,0.3,1.04,0.61
hPzPpfSjgQkpWCD7YjcY-A,Lilac Pâtisserie,1,93101,2,0.16,0.2,0.22,0.4,0.24
hPzPpfSjgQkpWCD7YjcY-A,Lilac Pâtisserie,1,93101,1,0.1,0.11,0.08,-0.11,-0.03
s4k1P9FHfPUzw3dqXRp7eA,LOKUM Turkish Delight & Baklava,1,93101,5,2.48,2.35,0.55,0.52,2.56
s4k1P9FHfPUzw3dqXRp7eA,LOKUM Turkish Delight & Baklava,1,93101,3,0.21,0.16,0.05,0.16,0.06
s4k1P9FHfPUzw3dqXRp7eA,LOKUM Turkish Delight & Baklava,1,93101,4,0.21,0.3,0.11,0.13,0.2
s4k1P9FHfPUzw3dqXRp7eA,LOKUM Turkish Delight & Baklava,1,93101,1,0.06,0.01,0,0.17,-0.04
s4k1P9FHfPUzw3dqXRp7eA,LOKUM Turkish Delight & Baklava,1,93101,2,0.02,0.02,0.01,0.05,-0.03
0RxU5OglQyPVtLKC1LPgsA,Bree'osh,1,93108,5,2.71,5.69,5.02,1.14,6.52
0RxU5OglQyPVtLKC1LPgsA,Bree'osh,1,93108,4,0.67,1.2,1.23,0.35,1.31
0RxU5OglQyPVtLKC1LPgsA,Bree'osh,1,93108,3,0.11,0.33,0.34,0.18,0.13
0RxU5OglQyPVtLKC1LPgsA,Bree'osh,1,93108,2,0.04,-0,0.08,0.03,0.01
0RxU5OglQyPVtLKC1LPgsA,Bree'osh,1,93108,1,0,0.02,0.06,-0,-0.04
VAIOtbsxdNmuhUKkQZFRlA,Renaud's Patisserie & Bistro,1,93105,5,2.2,4.55,4.58,0.89,4.63
VAIOtbsxdNmuhUKkQZFRlA,Renaud's Patisserie & Bistro,1,93105,4,0.74,2.46,2.16,0.8,2.16
VAIOtbsxdNmuhUKkQZFRlA,Renaud's Patisserie & Bistro,1,93105,3,0.17,0.44,0.49,0.2,0.29
VAIOtbsxdNmuhUKkQZFRlA,Renaud's Patisserie & Bistro,1,93105,1,0.09,0.13,0.15,0.07,0.07
VAIOtbsxdNmuhUKkQZFRlA,Renaud's Patisserie & Bistro,1,93105,2,-0.01,0.23,0.14,0.2,-0.04
XgehM3pBZWuXi45J2dqRJQ,Green Table,1,93101,5,1.61,2.8,1.57,3.89,5.66
XgehM3pBZWuXi45J2dqRJQ,Green Table,1,93101,4,0.29,0.67,0.37,0.97,1.14
XgehM3pBZWuXi45J2dqRJQ,Green Table,1,93101,3,0.17,0.21,0.15,0.72,0.84
XgehM3pBZWuXi45J2dqRJQ,Green Table,1,93101,2,0.05,-0.02,0.04,0.13,0.21
XgehM3pBZWuXi45J2dqRJQ,Green Table,1,93101,1,-0.05,0.02,0.01,-0.01,-0.02
wb6rAxDPWP_5AAl3CKCM1w,Insomnia Cookies,1,93101,5,0.1,0.31,0.31,0.3,0.47
wb6rAxDPWP_5AAl3CKCM1w,Insomnia Cookies,1,93101,1,0,0.01,0.01,0.04,-0.05
wb6rAxDPWP_5AAl3CKCM1w,Insomnia Cookies,1,93101,2,0,0,0.02,0,0
wb6rAxDPWP_5AAl3CKCM1w,Insomnia Cookies,1,93101,4,-0.01,0.16,0.14,0.11,0.26
wb6rAxDPWP_5AAl3CKCM1w,Insomnia Cookies,1,93101,3,-0.02,0.19,0.14,0.1,0.12
UuRZpgZsHX7PyykHV3wbZg,Crushcakes & Cafe,1,93101,5,2.58,4.08,4.99,2.43,5.54
UuRZpgZsHX7PyykHV3wbZg,Crushcakes & Cafe,1,93101,4,2.17,3.53,4.23,1.6,3.78
UuRZpgZsHX7PyykHV3wbZg,Crushcakes & Cafe,1,93101,3,0.67,1.19,1.56,0.93,1.03
UuRZpgZsHX7PyykHV3wbZg,Crushcakes & Cafe,1,93101,2,0.27,0.25,0.51,0.63,0.2
UuRZpgZsHX7PyykHV3wbZg,Crushcakes & Cafe,1,93101,1,0.06,0.09,0.39,0.34,-0.04
edDmC1Zcr5SVczbKBfiXqw,Montecito Village Grocery,1,93108,4,0.11,0.03,0.02,0,0.07
edDmC1Zcr5SVczbKBfiXqw,Montecito Village Grocery,1,93108,5,0.03,0.05,0.08,0,0.07
edDmC1Zcr5SVczbKBfiXqw,Montecito Village Grocery,1,93108,3,0.02,0,-0.01,0.08,0.02
edDmC1Zcr5SVczbKBfiXqw,Montecito Village Grocery,1,93108,1,-0.02,0,-0,0,0.01
edDmC1Zcr5SVczbKBfiXqw,Montecito Village Grocery,1,93108,2,-0.03,0,0.01,-0.02,0.01
u9oG6CVhS9dJR5ZHS5q23A,The Little Things Bakery,1,93109,5,0.78,0.76,1.4,1.71,2.48
u9oG6CVhS9dJR5ZHS5q23A,The Little Things Bakery,1,93109,1,0.02,0,0.03,0.06,0.01
u9oG6CVhS9dJR5ZHS5q23A,The Little Things Bakery,1,93109,2,0.02,0,0.01,0,-0.01
u9oG6CVhS9dJR5ZHS5q23A,The Little Things Bakery,1,93109,4,0.02,0.11,0.11,0.08,0.04
u9oG6CVhS9dJR5ZHS5q23A,The Little Things Bakery,1,93109,3,0,-0.01,0.01,0,-0.01
Ss6f5v_t5Vddiaz4ZOxL0g,Andersen's Danish Bakery & Restaurant,1,93101,5,5.35,4.45,6.74,3.15,11.68
Ss6f5v_t5Vddiaz4ZOxL0g,Andersen's Danish Bakery & Restaurant,1,93101,4,2.76,1.93,3.38,1.98,4.73
Ss6f5v_t5Vddiaz4ZOxL0g,Andersen's Danish Bakery & Restaurant,1,93101,3,0.8,0.75,1.24,0.54,1.02
Ss6f5v_t5Vddiaz4ZOxL0g,Andersen's Danish Bakery & Restaurant,1,93101,2,0.37,0.17,0.61,0.42,0.15
Ss6f5v_t5Vddiaz4ZOxL0g,Andersen's Danish Bakery & Restaurant,1,93101,1,0.11,0.14,0.29,0.13,-0.45
iQ_JNYzwvhSsToR4EHl4cA,Le Macaron French Pastries,0,93101,4,0.16,0.1,0.18,0.2,0.2
iQ_JNYzwvhSsToR4EHl4cA,Le Macaron French Pastries,0,93101,3,0.14,0.21,0.05,0.2,0.09
