business_id,date,stars,croissant,cake,cupcakes,cupcake,sandwich,wine,bread,toast,chocolate,salad,cheese,brunch,eggs,egg,chicken,donut,donuts,pastries,pastry,benedict,bacon,sandwiches,avocado,sourdough,cookie,fruit,croissants,salmon,butter,macarons,cream,burrito,turkey,strawberry,lobster,almond,caramel,blackberry,burger,blueberry,muffin,gourmet,sausage,cinnamon,grilled,raspberry,bagels,tomatoes,macaron,pasta,desserts,Steak,omelette,apple,soup,potatoes,brioche,danish,pie,biscuit,scones,tuna,brownie,tart
IDtLPgUrqorrpqSLdfMhZQ,2017-09-23 14:14:29,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O6RCCmz8-x4NhWJpI8KQug,2018-04-27 20:03:47,5,,,,,,,,0.5719,,,,,,,,,,,,,,,0.5719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xIGiif0TmmmGuV2-sidMSw,2016-11-12 06:51:37,5,,,,,0.5574,,,,,,,,,,,,,,,,,0.5574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bjhCtlYHrkgA5Ku8l-rB3g,2017-01-03 20:30:16,3,,,,,,,,,0.43784999999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4939,,,,,,,
xIGiif0TmmmGuV2-sidMSw,2017-11-07 13:16:12,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bjhCtlYHrkgA5Ku8l-rB3g,2014-05-10 01:21:02,4,,0.11960000000000001,,,,,-0.19855,,,,,,,,,,,,,,,,,,,,,,,,,0.4939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDtLPgUrqorrpqSLdfMhZQ,2017-05-29 15:47:31,2,,,,,,,,,,,,,-0.6962,-0.6962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O6RCCmz8-x4NhWJpI8KQug,2017-08-08 23:17:23,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.34,,
bjhCtlYHrkgA5Ku8l-rB3g,2016-10-02 17:12:28,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O6RCCmz8-x4NhWJpI8KQug,2016-07-16 06:32:03,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bjhCtlYHrkgA5Ku8l-rB3g,2017-11-19 14:36:12,5,0.5859,,,,,,,,,,,,,,,,,0.5859,,,,,,,,,0.5859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDtLPgUrqorrpqSLdfMhZQ,2017-05-17 16:14:33,5,,,,,,,0.5067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bjhCtlYHrkgA5Ku8l-rB3g,2015-09-14 20:22:25,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDtLPgUrqorrpqSLdfMhZQ,2016-11-22 01:19:29,4,,,,,0.14934999999999998,,,,,,,,,,-0.2732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bjhCtlYHrkgA5Ku8l-rB3g,2015-09-12 20:38:30,4,,,,,,,,,,,,,,0.4404,,,,,,,,,0.4019,,,,,,,,,0.2732,,,,,,,,,,,,,,,,,,,,,0.5994,,,,,,,,,,,
xIGiif0TmmmGuV2-sidMSw,2016-01-19 01:15:36,3,0.5719,,,,,,,,,,,,,,0.4404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDtLPgUrqorrpqSLdfMhZQ,2016-08-27 21:27:48,5,,,,,,0.296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4939,,,,,
IDtLPgUrqorrpqSLdfMhZQ,2017-05-27 21:52:09,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bjhCtlYHrkgA5Ku8l-rB3g,2014-02-28 21:19:35,5,,,,,0.836,,,,,,,,,,,,,,,,,0.836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bjhCtlYHrkgA5Ku8l-rB3g,2013-05-09 18:27:16,2,,,,,,,0.4588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bjhCtlYHrkgA5Ku8l-rB3g,2013-10-05 18:19:55,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bjhCtlYHrkgA5Ku8l-rB3g,2017-08-08 03:33:51,5,,,,,,,,0.3612,,,,,,,,,,,,,,,0.3612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O6RCCmz8-x4NhWJpI8KQug,2016-12-22 18:56:19,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDtLPgUrqorrpqSLdfMhZQ,2018-06-26 19:31:27,5,,,,,,,,,,,,,,,,,,,,,,,,,0.01874999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bjhCtlYHrkgA5Ku8l-rB3g,2014-06-13 06:57:21,5,,,,,,,0.5267,,,,,,0.5994,,,,,,,0.5994,,,,,,,,0.5994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bjhCtlYHrkgA5Ku8l-rB3g,2017-03-30 20:23:45,5,,,,,,,0.3804,,,,,,,,,,,0.3804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O6RCCmz8-x4NhWJpI8KQug,2016-08-06 05:35:24,1,,,,,,,,,,,,,,,,,,0.6124,,,,,,,,,,,,,,0.4019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bjhCtlYHrkgA5Ku8l-rB3g,2013-10-29 21:09:08,4,,,,,,,0.7184,,,,,,,,,,,0.5836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDtLPgUrqorrpqSLdfMhZQ,2018-03-24 15:20:25,4,0.5719,,,,0.6124,0.3182,0.3182,,,,0.5719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6369,,,,,,,,,,,,,,,,,,,,,,,,
IDtLPgUrqorrpqSLdfMhZQ,2017-08-08 22:39:34,3,,,,,,,,,,,,-0.296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bjhCtlYHrkgA5Ku8l-rB3g,2013-05-15 21:59:14,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O6RCCmz8-x4NhWJpI8KQug,2017-06-07 07:29:19,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xIGiif0TmmmGuV2-sidMSw,2016-02-14 02:08:55,5,,0.6369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O6RCCmz8-x4NhWJpI8KQug,2017-11-19 20:13:37,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDtLPgUrqorrpqSLdfMhZQ,2016-07-18 02:41:52,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4939,,,,,
O6RCCmz8-x4NhWJpI8KQug,2016-10-29 22:49:17,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDtLPgUrqorrpqSLdfMhZQ,2017-01-03 20:25:27,5,,,,,,,,,,,,,,,,,,,,,,,,,0.5574,,,,0.5574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xIGiif0TmmmGuV2-sidMSw,2016-11-12 23:54:40,3,,,,,0.3182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bjhCtlYHrkgA5Ku8l-rB3g,2016-02-27 22:24:35,5,,,,,,,0.4732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bjhCtlYHrkgA5Ku8l-rB3g,2015-01-19 22:30:00,5,,,,,,,,,,,,,,,,,,,,,,,,,0.4019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bjhCtlYHrkgA5Ku8l-rB3g,2016-01-18 19:11:08,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O6RCCmz8-x4NhWJpI8KQug,2018-05-31 16:45:26,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bjhCtlYHrkgA5Ku8l-rB3g,2013-08-22 05:46:18,4,,,,,,,,,,,,,,,,,,,,,0.4588,,,,,,,,,,,,0.4588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDtLPgUrqorrpqSLdfMhZQ,2017-07-29 21:33:50,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8225,0.3055666666666667,,,,
O6RCCmz8-x4NhWJpI8KQug,2017-06-19 00:13:54,5,,,,,,,,0.5106,,,,,,,,,,,,,,,0.5106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bjhCtlYHrkgA5Ku8l-rB3g,2013-05-13 18:11:16,3,,,,,,,0.5106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O6RCCmz8-x4NhWJpI8KQug,2018-02-06 00:50:34,4,,,,,,,,0.8225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O6RCCmz8-x4NhWJpI8KQug,2017-08-22 03:04:22,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bjhCtlYHrkgA5Ku8l-rB3g,2015-01-06 20:57:02,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O6RCCmz8-x4NhWJpI8KQug,2017-08-01 20:18:49,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDtLPgUrqorrpqSLdfMhZQ,2018-08-26 17:47:03,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bjhCtlYHrkgA5Ku8l-rB3g,2013-05-13 23:56:45,2,,,,,,,0.2263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bjhCtlYHrkgA5Ku8l-rB3g,2015-09-12 14:33:31,5,,,,,,,0.5719,-0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDtLPgUrqorrpqSLdfMhZQ,2017-09-23 20:54:42,5,,,,,0.4767,,,,,,,,,,,,,0.4767,,,,0.4767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bjhCtlYHrkgA5Ku8l-rB3g,2013-06-26 09:04:04,1,,,,,,,,,,,,,,0.4404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bjhCtlYHrkgA5Ku8l-rB3g,2014-07-30 21:59:01,2,,,,,,,,0.7845,,,,,0.20395000000000002,0.36357500000000004,,,,,,0.09759999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O6RCCmz8-x4NhWJpI8KQug,2018-04-30 18:42:40,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDtLPgUrqorrpqSLdfMhZQ,2017-08-19 18:52:17,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xIGiif0TmmmGuV2-sidMSw,2012-07-03 18:06:56,4,,,,,,,0.4019,,,,,,,,,,,0.6282,0.3612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O6RCCmz8-x4NhWJpI8KQug,2016-07-28 04:09:52,5,,,,,,0.836,,0.4404,,,,,,,,,,0.4404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDtLPgUrqorrpqSLdfMhZQ,2017-08-09 22:03:11,5,,,,,,0.34,0.3182,,,,,,,,,,,,0.6249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bjhCtlYHrkgA5Ku8l-rB3g,2016-12-07 17:19:58,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bjhCtlYHrkgA5Ku8l-rB3g,2013-06-30 01:48:33,1,,,,,,,,,,,,,-0.1027,-0.1027,,,,,,,-0.1027,,,,,,,,,,,,-0.1027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bjhCtlYHrkgA5Ku8l-rB3g,2017-06-11 20:23:31,1,,,,,0.6249,,,,,0.5594,,,,,,,,,,,,0.6249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDtLPgUrqorrpqSLdfMhZQ,2018-07-30 22:37:37,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O6RCCmz8-x4NhWJpI8KQug,2016-07-06 18:06:07,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O6RCCmz8-x4NhWJpI8KQug,2017-06-20 01:11:06,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O6RCCmz8-x4NhWJpI8KQug,2017-08-20 17:02:25,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bjhCtlYHrkgA5Ku8l-rB3g,2015-04-10 16:29:35,5,,0.5719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5719,,,,,,,,,,,,,,,,,,,,,,,,
xIGiif0TmmmGuV2-sidMSw,2016-11-14 19:26:29,2,,,,,,,0.2263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O6RCCmz8-x4NhWJpI8KQug,2016-06-26 18:39:42,5,,,,,,,,,,,,,,,,,,,,,,,,,0.6369,,,,,,,-0.2263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDtLPgUrqorrpqSLdfMhZQ,2017-03-12 18:38:48,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5719,,,,,,,,,,,,,,,,,,,,,,,
bjhCtlYHrkgA5Ku8l-rB3g,2013-10-29 17:50:30,5,,,,,,,,,,0.6369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDtLPgUrqorrpqSLdfMhZQ,2017-02-16 22:53:26,4,,,,,0.5574,,0.5719,,,0.1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bjhCtlYHrkgA5Ku8l-rB3g,2014-06-06 01:45:41,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.296
O6RCCmz8-x4NhWJpI8KQug,2017-10-06 23:24:09,5,,,,,,,,,,,,,,,,,,,0.6249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O6RCCmz8-x4NhWJpI8KQug,2017-11-22 20:03:00,5,,,,,,,,,,,,,,,,,,0.4754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDtLPgUrqorrpqSLdfMhZQ,2018-02-06 17:38:03,5,,,,,0.7579,0.6808,,,,,,0.5719,0.3612,0.3612,,,,,,,,0.7579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3182,,,,
bjhCtlYHrkgA5Ku8l-rB3g,2015-06-01 19:34:35,5,,,,,,,,,,,,,,,,,,,0.836,0.6369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,
IDtLPgUrqorrpqSLdfMhZQ,2017-03-23 18:40:46,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O6RCCmz8-x4NhWJpI8KQug,2017-09-25 15:23:19,1,,,,,,,,,,,,,,,,,,0.4404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O6RCCmz8-x4NhWJpI8KQug,2016-06-27 17:42:37,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bjhCtlYHrkgA5Ku8l-rB3g,2015-08-26 18:12:22,4,,0.6249,,,,,,,,,0.6249,,,,,,,,,,,,,,,0.6249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bjhCtlYHrkgA5Ku8l-rB3g,2014-09-29 03:01:48,1,,,,,,,-0.1027,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDtLPgUrqorrpqSLdfMhZQ,2018-05-01 04:18:50,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O6RCCmz8-x4NhWJpI8KQug,2016-07-18 19:24:21,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDtLPgUrqorrpqSLdfMhZQ,2018-10-02 03:39:35,5,,,,,,,0.8555,0.81025,,,,,,,,,,,,,,,,0.8555,,,,,0.8555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bjhCtlYHrkgA5Ku8l-rB3g,2015-11-24 09:25:25,5,,,,,,,,,,,,,,,,,,,,,0.6369,,,,,,,,,,,,0.6369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bjhCtlYHrkgA5Ku8l-rB3g,2014-03-19 19:17:59,5,,,,,,,0.28,,,,,,,,0.3612,,,,,,,,,0.3612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5106,,,,,,,,,,
IDtLPgUrqorrpqSLdfMhZQ,2016-07-11 14:42:07,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xIGiif0TmmmGuV2-sidMSw,2017-09-26 00:49:41,5,,,,,0.3182,,,,,,,,,,,,,,,,,0.3182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDtLPgUrqorrpqSLdfMhZQ,2017-04-13 01:02:08,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
